ID;Content;Work Product;Category ID;Category Description;Process Area
26262-2018:6-7.4.4;The software architectural design shall be developed down to the level where the software units are identified.;Software architectural design specification;2;Requirements on the content of work products;Software Architectural Design
26262-2018:6-7.4.5;"The software architectural design shall describe:

a) the static design aspects of the software architectural elements; and

     NOTE 1 Static design aspects address:

     - the software structure including its hierarchical levels;

     - the data types and their characteristics;

     - the external interfaces of the software components;

     - the external interfaces of the embedded software;

     - the global variables; and

     - the constraints including the scope of the architecture and external dependencies.

     NOTE 2 In the case of model-based development, modelling the structure can be an inherent part of the
     overall modelling activities. The structure modelled can be dependent on the selected modelling language.

b) the dynamic design aspects of the software architectural elements.

     NOTE 3 Dynamic design aspects address:

     - the functional chain of events and behaviour;

     - the logical sequence of data processing;

     - the control flow and concurrency of processes;

     - the data flow through interfaces and global variables; and

     - the temporal constraints.

NOTE 4 To determine the dynamic behaviour (e.g. of tasks, time slices and interrupts) the different operating states (e.g. power-up, shut-down, normal operation, calibration and diagnosis) are considered.

NOTE 5 To describe the dynamic behaviour (e.g. of tasks, time slices and interrupts), the communication relationships and their allocation to the system hardware (e.g. CPU and communication channels) are specified.";Software architectural design specification;2;Requirements on the content of work products;Software Architectural Design
26262-2018:6-7.4.6;"The software safety requirements shall be hierarchically allocated to the software components down to software units. As a result, each software component shall be developed in compliance with the highest ASIL of any of the requirements allocated to it.

NOTE During this process of design development and requirement allocation, splitting or further refinement of software safety requirements in accordance with Clause 6 can be necessary.";Software architectural design specification;3;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
26262-2018:6-7.4.7;"If a pre-existing software architectural element is used without modifications in order to meet the assigned safety requirements without being developed according to the ISO 26262 series of standards,
then it shall be qualified in accordance with ISO 26262-8:2018, Clause 12.

NOTE 1 The use of qualified software components does not affect the applicability of Clauses 10 and 11.
However, some activities described in Clauses 8 and 9 can be omitted.

NOTE 2 The suitability for reuse of software elements developed according to the ISO 26262 series of standards is performed during the verification of the software architectural design.";Software architectural design specification;4;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
26262-2018:6-7.4.8;"If the embedded software has to implement software components of different ASILs, or safety-
related and non-safety-related software components, then all of the embedded software shall be treated in accordance with the highest ASIL, unless the software components meet the criteria for coexistence in accordance with ISO 26262-9:2018, Clause 6.";Software architectural design specification;3;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
26262-2018:6-7.4.9;"If software partitioning (see Annex D) is used to implement freedom from interference between software components it shall be ensured that:

a) the shared resources are used in such a way that freedom from interference of software partitions
     is ensured;
     NOTE 1 Tasks within a software partition are not free from interference among each other.

     NOTE 2 One software partition cannot change the code or data of another software partition nor
     command non-shared resources of other software partitions.

     NOTE 3 The service received from shared resources by one software partition cannot be affected by
     another software partition. This includes the performance of the resources concerned, as well as the rate,
     latency, jitter and duration of scheduled access to the resource.

b) the software partitioning is supported by dedicated hardware features or equivalent means (this
   requirement applies to ASIL D, in accordance with 4.4);

     EXAMPLE Hardware feature such as a memory protection unit.

c) the element of the software that implements the software partitioning is developed in compliance
     with the highest ASIL assigned to any requirement of the software partitions; and

     NOTE 4 In general the operating system provides or supports software partitioning.

d) evidence for the effectiveness of the software partitioning is generated during software integration
   and verification (in accordance with Clause 10).";Software architectural design specification;2;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP1a;Develop software architectural design. ;Software architectural design specification;1;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP1b;Develop and document the software architectural design that specifies the elements of the software with respect to functional and non-functional software requirements.  NOTE 1: The software is decomposed into elements across appropriate hierarchical levels down to the software components (the lowest level elements of the software architectural design) that are described in the detailed design.;Software architectural design specification;2;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP2;Allocate software requirements. Allocate the software requirements to the elements of the software architectural design. ;Software architectural design specification;3;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP3;Define interfaces of software elements. Identify, develop and document the interfaces of each software element. ;Software architectural design specification;2;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP4a;Describe dynamic behavior. ;Software architectural design specification;2;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP4b;Evaluate and document the timing and dynamic interaction of software elements to meet the required dynamic behavior of the system.  NOTE 2: Dynamic behavior is determined by operating modes (e.g. start-up, shutdown, normal mode, calibration, diagnosis, etc.), processes and process intercommunication, tasks, threads, time slices, interrupts, etc. NOTE 3: During evaluation of the dynamic behavior the target platform and potential loads on the target should be considered.;Software architectural design specification;4;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP5;Define resource consumption objectives. Determine and document the resource consumption objectives for all relevant elements of the software architectural design on the appropriate hierarchical level.  NOTE 4: Resource consumption is typically determined for resources like Memory (ROM, RAM, external /internal EEPROM or Data Flash), CPU load, etc.;Software architectural design specification;2;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP6;Evaluate alternative software architectures. Define evaluation criteria for the architecture. Evaluate alternative software architectures according to the defined criteria. Record the rationale for the chosen software architecture.  NOTE 5: Evaluation criteria may include quality characteristics (modularity, maintainability, expandability, scalability, reliability, security realization and usability) and results of make-buy-reuse analysis.;Software architectural design specification;2;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP7;Establish bidirectional traceability. Establish bidirectional traceability between software requirements and elements of the software architectural design.  NOTE 6: Bidirectional traceability covers allocation of software requirements to the elements of the software architectural design. NOTE 7: Bidirectional traceability supports coverage, consistency and impact analysis.;Software architectural design specification;3;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP8a;Ensure consistency. ;Software architectural design specification;9;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP8b;Ensure consistency between software requirements and the software architectural design.  NOTE 8: Consistency is supported by bidirectional traceability and can be demonstrated by review records.;Software architectural design specification;4;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
SWE.2.BP9;Communicate agreed software architectural design. Communicate the agreed software architectural design and updates to software architectural design to all relevant parties. ;Software architectural design specification;10;"Requirements on properties or attributes of work products (e.g. ""trace_from_sw_requirements"")";Software Architectural Design
